_
~
a
a1
a2
a3
a4
ai
ai1
ai2
ai3
ai4
an
an1
an2
an3
an4
ang
ang1
ang2
ang3
ang4
ao
ao1
ao2
ao3
ao4
b
c
ch
d
e
e1
e2
e3
e4
ei
ei1
ei2
ei3
ei4
en
en1
en2
en3
en4
eng
eng1
eng2
eng3
eng4
er
er2
er3
er4
f
g
h
i
i1
i2
i3
i4
ia
ia1
ia2
ia3
ia4
ian
ian1
ian2
ian3
ian4
iang
iang1
iang2
iang3
iang4
iao
iao1
iao2
iao3
iao4
ie
ie1
ie2
ie3
ie4
in
in1
in2
in3
in4
ing
ing1
ing2
ing3
ing4
iong1
iong2
iong3
iu
iu1
iu2
iu3
iu4
j
k
l
m
n
n2
o
o1
o2
o3
o4
ong
ong1
ong2
ong3
ong4
ou
ou1
ou2
ou3
ou4
p
q
r
s
sh
t
u
u1
u2
u3
u4
ua
ua1
ua2
ua3
ua4
uai
uai1
uai2
uai3
uai4
uan
uan1
uan2
uan3
uan4
uang
uang1
uang2
uang3
uang4
ue1
ue2
ue3
ue4
ui1
ui2
ui3
ui4
un
un1
un2
un3
un4
uo
uo1
uo2
uo3
uo4
v2
v3
v4
vè0
w
x
y
z
zh
。
！
，
？
ｂ
ｐ
